Bangla,Chatgaya
আমাকে আরো কিছু গরম গরম ভাপা পিঠা দাও,আঁরে আরো কিছু গরম গরম ধু পিডে দও
"তুই আমার কাছ থেকে আর কোনো টাকা পাবি না, তোর সব টাকা আমি দিয়ে দিছি","তুই আত্তুন আর হনো টিয়া ন পাবি, তুর বিয়াক টিয়া আঁই দি দিই"
"রাগ আমারও আসে, কিন্তু আমি নিয়ন্ত্রণ করতে পারি","গুসসা আত্তুনও আইয়্যি, কিন্তু আঁই নিয়ন্ত্রন গরিত পারি"
বিড়ালের কামড় খেলে সঙ্গে সঙ্গে ডাক্তারের কাছে যাওয়া উচিত,বিলের হঅর হাইলি সাথে সাথে ডাক্তারুর হাছে যন উচিত
তুমি কি সবসময় এভাবে ছোট করে কথা বলো?,তুঁই কি সবসময় এল্লেত ছোডো গরি হতা হও
তুমি কি সবসময় এভাবে ছোট করে কথা বলো?,তুঁই কি সবসময় এন গরি ছোডো গরি হতা হও
তুমি কি সবসময় এভাবে ছোট করে কথা বলো?,তুঁই কি সবসময় এইল্লেত ছোডো গরি হতা হও
তুমি কি সবসময় এভাবে ছোট করে কথা বলো?,তুঁই কি সবসময় ইল্লেত ছোডো গরি হতা হও
তুমি কি সবসময় এভাবে ছোট করে কথা বলো?,তুঁই কি সবসময় এল্লেত ছোডো গরি হথা হও
"আর অল্প বাকি, বেশিক্ষণ লাগবে না","আর এক্কানা বাকি, বেশিক্ষন ন লাগিবু"
আজকে আমি অনেক বড় একটা ছক্কা মেরেছি,আজিয়ে বত বরো উজ্ঞো ছক্কা মেইজ্জি
আজকে আমি অনেক বড় একটা ছক্কা মেরেছি,আজিইয়্যে বত বরো উজ্ঞো ছক্কা মেইজ্জি
"চাকরি একটা চলে গেছে তো কী হয়েছে, আল্লাহ চাইলে আরও ভালো চাকরি আসবে","চঅরি এক্কান চলি গেইয়্যি তো কী অইয়্যি, আল্লাহ চাইলি আরো ভালা চঅরি আইবু"
"চাকরি একটা চলে গেছে তো কী হয়েছে, আল্লাহ চাইলে আরও ভালো চাকরি আসবে","চঅরি এক্কান চলি গেইয়্যি তো কী অইয়্যি, আল্লাহ চাইলি আরো গম চঅরি আইবু"
"এই পাঞ্জাবিটা আমি পরে দেখতে চাই, ট্রায়াল রুম কোনদিকে?","এই পাঞ্জাবি ইবে আঁই পরি চাইতাম চাইর, ট্রায়াল রুম হুনদি?"
"স্যার, আমি পরীক্ষায় ভালো করতে চাই, কোন বিষয়গুলো বেশি পড়া দরকার?","স্যার, আঁই পরীক্ষেত ভালা গইত্তাম চাই, হোন বিষয়গুন বেশি ফরন উর দরহার?"
"স্যার, আমি পরীক্ষায় ভালো করতে চাই, কোন বিষয়গুলো বেশি পড়া দরকার?","স্যার, আঁই পরীক্ষেত গম গইত্তাম চাই, হোন বিষয়গুন বেশি ফরন উর দরহার?"
